iata,lon,iso,status,name,continent,type,lat,size
YWS,,CA,1,Whistler/Green Lake Water Aerodrome,NA,seaplanes,,
YPT,,CA,1,Pender Harbour Seaplane Base,NA,seaplanes,,
YAA,-125.3,CA,1,Anahim Lake Airport,NA,airport,52.45,small
JHL,-111.41889,CA,1,Fort MacKay/Albian Aerodrome,NA,airport,57.22389,small
YMU,,CA,1,Mansons Landing Seaplane Base,NA,seaplanes,,
YWM,-56.01282,CA,1,Williams Harbour Airport,NA,airport,52.335438,small
YFX,-55.683334,CA,1,St. Lewis (Fox Harbour) Airport,NA,airport,52.36667,small
YHA,-56.3,CA,1,Port Hope Simpson Airport,NA,airport,52.533333,small
YRG,-58.416668,CA,1,Rigolet Airport,NA,airport,54.333332,small
ABL,-157.84584,US,1,Ambler Airport,NA,airport,67.0875,medium
YCK,-126.09047,CA,1,Colville Lake Airport,NA,airport,67.03993,small
EE7,,CA,1,Edmonton/Cooking Lake Seaplane Base,NA,seaplanes,,
YLE,-117.24318,CA,1,,NA,airport,63.132942,small
NML,,CA,1,Fort McMurray / Mildred Lake Airport,NA,airport,,small
DAS,-119.712776,CA,1,Great Bear Lake Airport,NA,airport,66.70306,small
YFI,,CA,1,Fort Mackay / Firebag,NA,airport,,small
OKG,15,CG,1,Okoyo Airport,AF,airport,-1.466667,small
CGA,,US,1,Craig Seaplane Base,NA,seaplanes,,
SUR,-88.5475,CA,1,Summer Beaver Airport,NA,airport,52.71528,small
YAX,-89.565,CA,1,Wapekeka Airport,NA,airport,53.251945,small
WNN,-89.166664,CA,1,Wunnumin Lake Airport,NA,airport,52.916668,small
YNO,-92.416664,CA,1,North Spirit Lake Airport,NA,airport,52.5,small
CLG,,US,,Coalinga Airport,NA,closed,,
OHE,122.42059,CN,1,Gu-Lian Airport,AS,airport,52.92113,medium
FUO,113.28333,CN,1,Foshan Shadi Airport,AS,airport,23.133333,medium
HUZ,114.36667,CN,1,Huizhou Airport,AS,airport,23.083332,medium
JGS,114.7375,CN,1,Jinggangshan Airport,AS,airport,26.899721,medium
AEB,106.96777,CN,1,Tian Yang Air Base,AS,airport,23.71947,medium
AAT,88.08444,CN,1,Altay Air Base,AS,airport,47.750362,medium
YZY,100.660835,CN,1,Zhangye Southeast Air Base,AS,airport,38.8075,medium
DDG,124.28081,CN,1,Dandong Airport,AS,airport,40.032368,medium
NTG,120.9756,CN,1,Nantong Airport,AS,airport,32.07292,small
XBE,-90.98333,CA,1,Bearskin Lake Airport,NA,airport,53.95,small
